"Id";"Identificador";"Empaquetado";"Cantidad";"Identificación";"Suministrador y ref";
1;"R8,R2,R1,R7,R5,R6";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";6;"10K";;;
2;"P5";"Socket_Strip_Straight_1x09_Pitch2.54mm";1;"CONN_01X09";;;
3;"S1,S2,S6,S5,S4,S3";"SW_PUSH_6mm_h13mm";6;"SW DPST_2";;;
4;"P2,P1,P4,P9,P10";"Socket_Strip_Straight_1x04_Pitch2.54mm";5;"CONN_01X04";;;
5;"J6,J5,J11,J7";"Socket_Strip_Straight_1x08_Pitch2.54mm";4;"CON8";;;
6;"R15,R16,R14,R13,R12,R11,R10,R9";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";8;"330";;;
7;"R4,R3,R18,R17,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";14;"470";;;
8;"R29,R30,R31,R32";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";4;"1200";;;
9;"J9";"Pin_Header_Straight_1x03_Pitch2.54mm";1;"3vias";;;
10;"P6";"USB_B";1;"USB_B";;;
11;"D4,D5,D6,D7,D8,D9,D10,D2,D3,D11";"LED_D3.0mm";10;"LED";;;
12;"C10,C9";"C_Disc_D5.0mm_W2.5mm_P2.50mm";2;"22pf";;;
13;"C7";"C_Disc_D5.0mm_W2.5mm_P2.50mm";1;"100nf";;;
14;"C11";"CP_Radial_D5.0mm_P2.50mm";1;"1uf";;;
15;"C8";"CP_Radial_D5.0mm_P2.50mm";1;"47uf";;;
16;"AFF4,AFF1,AFF2,AFF3";"7SegmentLED_LTS6760_LTS6780";4;"7SEGMENTS";;;
17;"C6";"CP_Radial_D6.3mm_P2.50mm";1;"10uf";;;
18;"CON1";"BARREL_JACK";1;"BARREL_JACK";;;
19;"D12";"D_5W_P10.16mm_Horizontal";1;"1n4004";;;
20;"J3";"Socket_Strip_Straight_1x06_Pitch2.54mm";1;"ICSP";;;
21;"JP1";"Pin_Header_Straight_1x03_Pitch2.54mm";1;"JUMPER3";;;
22;"P3";"Socket_Strip_Straight_1x07_Pitch2.54mm";1;"CONN_01X07";;;
23;"RV1,RV2";"Potentiometer_Omeg_PC16PU_Horizontal";2;"10K lin";;;
24;"U2";"DIP-18_W7.62mm_LongPads";1;"ULN2803";;;
25;"U3";"DIP-16_W7.62mm";1;"4511";;;
26;"U4";"TO-220-3_Vertical";1;"LM7805";;;
27;"U5";"DIP-40_W15.24mm_LongPads";1;"PIC18(L)F4550-I/P";;;
28;"Y2";"Crystal_HC49-4H_Vertical";1;"20MHz";;;
29;"Q1,Q2,Q3,Q4";"TO-92_Inline_Narrow_Oval";4;"BC548";;;
30;"P7";"TerminalBlock_Altech_AK300-2_P5.00mm";1;"CONN_01X02";;;
31;"P8";"TerminalBlock_Altech_AK300-2_P5.00mm";1;"CONN_01X02";;;
