Reference, Value, Footprint, Datasheet
"U1","CC56-12EWA","libreria:CA56-12EWA","http://www.kingbrightusa.com/images/catalog/SPEC/CA56-12EWA.pdf"
"P3","CONN_01X05","libreria:Socket_Strip_Straight_1x05_Pitch2.54mm","~"
"D1","1n4004","libreria:D_5W_P10.16mm_Horizontal","~"
"P10","Negativo","libreria:Socket_Strip_Straight_1x04_Pitch2.54mm","~"
"P9","Positivo","libreria:Socket_Strip_Straight_1x04_Pitch2.54mm","~"
"P8","5V","libreria:TerminalBlock_bornier-2_P5.08mm","~"
"P7","12V","libreria:TerminalBlock_bornier-2_P5.08mm","~"
"S6","SW DPST_2","libreria:SW_PUSH_6mm_h13mm","~"
"S5","SW DPST_2","libreria:SW_PUSH_6mm_h13mm","~"
"S4","SW DPST_2","libreria:SW_PUSH_6mm_h13mm","~"
"S3","SW DPST_2","libreria:SW_PUSH_6mm_h13mm","~"
"S2","SW DPST_2","libreria:SW_PUSH_6mm_h13mm","~"
"J5","CON8","libreria:Socket_Strip_Straight_1x08_Pitch2.54mm","~"
"Y2","20MHz","libreria:Crystal_HC49-4H_Vertical","~"
"C10","22pf","libreria:C_Disc_D5.0mm_W2.5mm_P2.50mm","~"
"C9","22pf","libreria:C_Disc_D5.0mm_W2.5mm_P2.50mm","~"
"D12","1n4004","libreria:D_5W_P10.16mm_Horizontal","~"
"JP1","JUMPER3","libreria:Pin_Header_Straight_1x03_Pitch2.54mm","~"
"C8","47uf","libreria:CP_Radial_D5.0mm_P2.50mm","~"
"U4","LM7805","libreria:TO-220-3_Vertical","http://www.fairchildsemi.com/ds/LM/LM7805.pdf"
"C7","100nf","libreria:C_Disc_D5.0mm_W2.5mm_P2.50mm","~"
"P6","USB_B","libreria:USB_B"," ~"
"P5","CONN_01X09","libreria:Socket_Strip_Straight_1x09_Pitch2.54mm","~"
"J6","CON8","libreria:Socket_Strip_Straight_1x08_Pitch2.54mm","~"
"J7","CON8","libreria:Socket_Strip_Straight_1x08_Pitch2.54mm","~"
"R32","10k","libreria:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R31","10k","libreria:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R30","10k","libreria:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R29","10k","libreria:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"D11","LED","libreria:LED_D3.0mm","~"
"D10","LED","libreria:LED_D3.0mm","~"
"D9","LED","libreria:LED_D3.0mm","~"
"D8","LED","libreria:LED_D3.0mm","~"
"D7","LED","libreria:LED_D3.0mm","~"
"D6","LED","libreria:LED_D3.0mm","~"
"D5","LED","libreria:LED_D3.0mm","~"
"D4","LED","libreria:LED_D3.0mm","~"
"P4","BOTONES","libreria:Socket_Strip_Straight_1x04_Pitch2.54mm","~"
"R27","180","libreria:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R26","180","libreria:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R25","180","libreria:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R24","180","libreria:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R23","180","libreria:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
